,,,,,
,,,,,
,ID,Centro de Reciclaje,Ubicación,Teléfono,Materiales que Aceptan
,40,Plasticomexmor,"Manzana 27 Lt 52, Av. 5, Renovación, Iztapalapa (09209)",55 4206 7681,"Papel, Cartón, Plástico (Compra)"
,41,Comporemex,"Perca Mz 15-Lt 1, Colonia del Mar, Tláhuac (13270)",55 2079 4963,Plástico (Compra)
,42,Biorecicla,"Olivar del Conde 2da Sección, Álvaro Obregón (01408)",55 6311 6534,"Papel, Cartón, Plástico, Electrónicos (Compra) ABIERTO DOMINGOS"
,43,Cero Residuos,"Av. Thiers 67, Anzures, Miguel Hidalgo (11590)",55 6965 3866,"Papel, Cartón, Plástico, Metales"
,44,Cmetales Cm,"Tercera Cda. Del Recreo 97-A, Colonia del Recreo, Azcapotzalco (02070)",55 1014 7183,"Plástico, Metales"
,45,Comercial De Desechos S.A de C.V,"4 De Diciembre De 1860 1595, Leyes de Reforma 3ra Sección, Iztapalapa (09310)",55 7336 6525,Metales
,46,CCT Ambiental S.A de C.V,"Av. Popocatépetl 205, Santa Cruz Atoyac, Benito Juárez (03310)",55 4097 0532,Materiales Peligrosos
,47,Centro De Acopio De Llantas De Camion Re Ulli,"Pte. 9 Lt 12, Manzana 10, Cuchilla del Tesoro, Gustavo A. Madero (07900)",55 7419 3611,"Llantas, Madera"
,48,Ambientum,"Calz San Simon 389, Santa María Insurgentes, Cuauhtémoc (06300)",55 5122 8004,No especificado
,49,Amigos Del Medio Ambiente Reciclables Los Gallos,"Prolongacion San Antonio 390 Col. Nicanor Arvide, A La Altura De Eje 5 Poniente, Minas de Cristo, Álvaro Obregón (01280)",55 5598 2222,"Papel, Cartón, Plástico, Metales, Electrónicos, Baterías"
,50,Ayalma Recycling S.A de C.V,"Unidad Habitacional, Guillermo Prieto #9-A, La Draga, Tláhuac (13300)",55 5866 9401,"Plástico, Madera (Compra)"
,51,Banco De Tapitas A C,"Playa Pichilingue 31, Militar Marte, Iztacalco (08830)",55 7163 9387,Plástico
,52,Banco De Tapitas A C Iztapalapa,"Monzón 294, Cerro de la Estrella, Iztapalapa (09860)",44 2293 8257,Plástico
,53,Bazar Serrano Reciclaje,"Av 8 Lt 42, Manzana 29, Renovación, Iztapalapa (09209)",55 6401 9751,Compra Material
,54,Lumi Recycling,"Cholula 1696, San Felipe de Jesús",No disponible,"Electrónicos, metales, cartón, papel, plásticos, residuos industriales (peligrosos y no peligrosos)"
,55,Transpac,"Calzada Vallejo 1361, Industrial Vallejo",No disponible,"Papel, cartón, PET, plásticos (Compra-venta)"
,56,Recicla Más,"Eje Central Lázaro Cárdenas 795, Nueva Industrial Vallejo",No disponible,Reciclaje industrial
,57,Grupo Paper Green,Nueva Industrial Vallejo / Palmatitla,No disponible,"Metales, papel, plástico"
,58,Industrial Mafra SA de CV,Nueva Industrial Vallejo / Palmatitla,No disponible,"Metales, papel, plástico"
,59,El Polo Norte,Nueva Industrial Vallejo / Palmatitla,No disponible,"Metales, papel, plástico"
,60,Centro de Reciclado en Unidad San Juan de Aragón,Unidad San Juan de Aragón,No disponible,Puntos de acopio en general
,61,Recicladora Imperio,San Juan de Aragón / Campestre Aragón / Guadalupe Tepeyac,No disponible,Puntos de acopio en general
,62,Manejo Integral de Residuos Peligrosos,"Santa Isabel 20 Mz 12, Lt 1, Col. Hank González, Iztapalapa",2608 6205,Aceites usados de automóvil
,63,SIMARI,"Parque Industrial de Tepeji del Río, Hidalgo","5682 5432, 5682 5876","Aceites y lubricantes, lámparas, medicamentos, residuos tóxicos"
,64,Geocycle México,"Av. Prolongación Vasco de Quiroga 4800, Lomas de Santa Fe, Cuajimalpa",5724 0271,Aceites y lubricantes usados
,65,Lubricash de México,"Reforma Social Mz 66, Lt 9, Col. Reforma Política, Iztapalapa",5429 6176,Aceites y lubricantes usados
,66,ECONTAINER,"Héroes de Granaditas 1, San Pedro Xalostoc, Ecatepec",5788 0338,"Aceites, tetrapak, focos, medicamentos, llantas, metales, plásticos, etc."
,67,Impulsora Mexicana de Productos Químicos,"Av. Vicente Lombardo Toledano 89, Miguel Hidalgo, Ecatepec",5569 4608,"Aceites, focos, medicamentos, pintura, radiografías"
,68,Servicio de transporte S.A. de C.V.,"Av. Paganini 90, Vallejo, Gustavo A. Madero",5590 9323,"Recolección de aceite, construcción, tetrapack, metales, muebles"
,69,Bio-Tramex,"Av. Constituyentes 653-501, 16 de Septiembre",2614 7390,"Aceites, lubricantes, solventes, medicamentos"
,70,Biofuels de México,"Aniceto Ortega 817, del Valle, Benito Juárez",1742 1518,Aceite vegetal usado
,71,Jabón y grasa / REOIL / Eli Cami,"Cda. Rafael Ángel Peña 247-4, Tránsito / Norte 35 1012-A, Ind. Vallejo",4195 0148,"Grasas, aceites vegetales y animales"
,72,Biokeizer,"Calle 14 núm. 185, Progreso Nacional, Gustavo A. Madero",No disponible,Aceite vegetal usado
,73,Industrias Asturcon,"Paseo de los Tamarindos 400, Bosques de las Lomas, Cuajimalpa",No disponible,Aceite vegetal usado
,74,Mercado de Trueque (SEDEMA),Itinerante CDMX,5345 8187,"Aceite vegetal, reciclables diversos"
,75,Technology Comercer & Solutions,"Retorno 13 de Jesús Galindo y Villa 14, Jardín Balbuena",5571 4411,Aceites y grasas vegetales/animales
,76,Socorro Pérez Mendoza,"Mérida 9, Jardines de Morelos 5a Sección, Ecatepec",4629 7734,Aceites y grasas vegetales/animales
,77,Lexmark International,"Av. prol. Paseo de la Reforma 1015, Santa Fe",No disponible,Cartuchos de tóner
,78,Ecología y Calidad Responsable (Ecocare),"Dr. Emilio Cárdenas 17, Centro, Tlalnepantla",No disponible,Cartuchos de tóner
,79,Ecosistems Cartuchos,"Sur 105 núm. 1303, Aeronáutica Militar, Venustiano Carranza",No disponible,Cartuchos de tóner
,80,International Cores México,"Lago San Martín 41, Argentina Antigua",No disponible,Cartuchos de tinta y tóner
,81,HP Planet Partners,No disponible,01 800 890 5572,Cartuchos de tinta y tóner
,82,Reciclatoner,"Calzada de Tlalpan 2560, Avante, Coyoacán",5544 7386,Cartuchos de tóner
,83,Centro de Transferencia Cuemanco,"Periférico Sur 7555, San Lorenzo La Cebada, Xochimilco",5603 7070,Residuos de la construcción
,84,Concretos y Reciclados,"Av. Periférico sur 7555, Rinconada Coapa, Xochimilco",No disponible,Residuos de la construcción
,85,Constructores y Mineros,"Paseo de los Olmos 110, Colinas de Tarango, Álvaro Obregón",5643 2364,Residuos de la construcción
,86,Guillermo Blancas Jiménez,"Arándanos 56, La Magdalena Chichicaspa, Huixquilucan",2808 9434,Residuos de la construcción
,87,Francisco García Segura,"Guerrero de Reforma 966, Leyes de Reforma, Iztapalapa",5694 2913,Residuos de la construcción
,88,Luz Elena Sandoval Madrigal,"Av. Floresta Mz 11 Lt 17, Los Reyes Acaquilpan",No disponible,Residuos de la construcción
,89,Sindicato Libertad de Trabajadores,"Dr. J. Velasco 36, Doctores, Cuauhtémoc",No disponible,Residuos de la construcción
,90,Luis Guillermo Domínguez,"Cerrada Tecol 9, Pedregal Santo Domingo, Coyoacán",5926 2020,Residuos de la construcción
